analysis_scope,llm_model,label_scope,axis_name,axis_value,source_summary_runs,total_cases,pass_count,pass_rate,failure_count,dominant_failure_type
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,transition_group,GF-MF-D,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,transition_group,GF-MF-E,20260403T204508+0300,50,21,0.420,29,false_refusal
reasoning-valid-runs,deepseek-v3.1:671b-cloud,neg,negative_twin_hardness,easy,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,neg,negative_twin_hardness,hard,20260403T204508+0300,100,100,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,neg,negative_twin_hardness,medium,20260403T204508+0300,100,100,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.2:cloud,fg,bridge_depth,0,20260403T204508+0300,50,28,0.560,22,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,bridge_depth,1,20260403T204508+0300,100,35,0.350,65,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,bridge_depth,2,20260403T204508+0300,100,45,0.450,55,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,import_arity,1,20260403T204508+0300,150,73,0.487,77,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,import_arity,2,20260403T204508+0300,100,35,0.350,65,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,reuse_shape,adversarial_gold_reuse,20260403T204508+0300,50,22,0.440,28,request_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,reuse_shape,bridge_depth_ge_1,20260403T204508+0300,50,23,0.460,27,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,reuse_shape,one_import_linear,20260403T204508+0300,50,28,0.560,22,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,reuse_shape,one_import_symbol_remap,20260403T204508+0300,50,22,0.440,28,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,reuse_shape,two_import_merge,20260403T204508+0300,50,13,0.260,37,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,symbol_overlap,high,20260403T204508+0300,50,28,0.560,22,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,symbol_overlap,low,20260403T204508+0300,100,44,0.440,56,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,symbol_overlap,medium,20260403T204508+0300,100,36,0.360,64,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,transition_group,GF-MF-A,20260403T204508+0300,50,28,0.560,22,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,transition_group,GF-MF-B,20260403T204508+0300,50,22,0.440,28,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,transition_group,GF-MF-C,20260403T204508+0300,50,13,0.260,37,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,transition_group,GF-MF-D,20260403T204508+0300,50,23,0.460,27,schema_failure
reasoning-valid-runs,deepseek-v3.2:cloud,fg,transition_group,GF-MF-E,20260403T204508+0300,50,22,0.440,28,request_failure
reasoning-valid-runs,deepseek-v3.2:cloud,neg,negative_twin_hardness,easy,20260403T204508+0300,50,46,0.920,4,request_failure
reasoning-valid-runs,deepseek-v3.2:cloud,neg,negative_twin_hardness,hard,20260403T204508+0300,100,97,0.970,3,request_failure
reasoning-valid-runs,deepseek-v3.2:cloud,neg,negative_twin_hardness,medium,20260403T204508+0300,100,97,0.970,3,request_failure
reasoning-valid-runs,glm-5:cloud,fg,bridge_depth,0,20260403T204508+0300,50,47,0.940,3,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,bridge_depth,1,20260403T204508+0300,100,73,0.730,27,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,bridge_depth,2,20260403T204508+0300,100,29,0.290,71,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,import_arity,1,20260403T204508+0300,150,95,0.633,55,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,import_arity,2,20260403T204508+0300,100,54,0.540,46,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,reuse_shape,adversarial_gold_reuse,20260403T204508+0300,50,13,0.260,37,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,reuse_shape,bridge_depth_ge_1,20260403T204508+0300,50,16,0.320,34,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,reuse_shape,one_import_linear,20260403T204508+0300,50,47,0.940,3,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,reuse_shape,one_import_symbol_remap,20260403T204508+0300,50,32,0.640,18,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,reuse_shape,two_import_merge,20260403T204508+0300,50,41,0.820,9,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,symbol_overlap,high,20260403T204508+0300,50,47,0.940,3,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,symbol_overlap,low,20260403T204508+0300,100,45,0.450,55,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,symbol_overlap,medium,20260403T204508+0300,100,57,0.570,43,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,transition_group,GF-MF-A,20260403T204508+0300,50,47,0.940,3,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,transition_group,GF-MF-B,20260403T204508+0300,50,32,0.640,18,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,transition_group,GF-MF-C,20260403T204508+0300,50,41,0.820,9,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,transition_group,GF-MF-D,20260403T204508+0300,50,16,0.320,34,schema_failure
reasoning-valid-runs,glm-5:cloud,fg,transition_group,GF-MF-E,20260403T204508+0300,50,13,0.260,37,schema_failure
reasoning-valid-runs,glm-5:cloud,neg,negative_twin_hardness,easy,20260403T204508+0300,50,49,0.980,1,format_failure
reasoning-valid-runs,glm-5:cloud,neg,negative_twin_hardness,hard,20260403T204508+0300,100,100,1.000,0,pass_only
reasoning-valid-runs,glm-5:cloud,neg,negative_twin_hardness,medium,20260403T204508+0300,100,100,1.000,0,pass_only
reasoning-valid-runs,gpt-oss:120b-cloud,fg,bridge_depth,0,20260403T204508+0300,50,45,0.900,5,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,bridge_depth,1,20260403T204508+0300,100,77,0.770,23,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,bridge_depth,2,20260403T204508+0300,100,81,0.810,19,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,import_arity,1,20260403T204508+0300,150,123,0.820,27,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,import_arity,2,20260403T204508+0300,100,80,0.800,20,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,reuse_shape,adversarial_gold_reuse,20260403T204508+0300,50,38,0.760,12,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,reuse_shape,bridge_depth_ge_1,20260403T204508+0300,50,43,0.860,7,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,reuse_shape,one_import_linear,20260403T204508+0300,50,45,0.900,5,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,reuse_shape,one_import_symbol_remap,20260403T204508+0300,50,35,0.700,15,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,reuse_shape,two_import_merge,20260403T204508+0300,50,42,0.840,8,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,symbol_overlap,high,20260403T204508+0300,50,45,0.900,5,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,symbol_overlap,low,20260403T204508+0300,100,73,0.730,27,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,symbol_overlap,medium,20260403T204508+0300,100,85,0.850,15,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,transition_group,GF-MF-A,20260403T204508+0300,50,45,0.900,5,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,transition_group,GF-MF-B,20260403T204508+0300,50,35,0.700,15,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,transition_group,GF-MF-C,20260403T204508+0300,50,42,0.840,8,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,transition_group,GF-MF-D,20260403T204508+0300,50,43,0.860,7,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,fg,transition_group,GF-MF-E,20260403T204508+0300,50,38,0.760,12,schema_failure
reasoning-valid-runs,gpt-oss:120b-cloud,neg,negative_twin_hardness,easy,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,gpt-oss:120b-cloud,neg,negative_twin_hardness,hard,20260403T204508+0300,100,99,0.990,1,format_failure
reasoning-valid-runs,gpt-oss:120b-cloud,neg,negative_twin_hardness,medium,20260403T204508+0300,100,100,1.000,0,pass_only
reasoning-valid-runs,gpt-oss:20b-cloud,fg,bridge_depth,0,20260403T204508+0300,50,22,0.440,28,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,bridge_depth,1,20260403T204508+0300,100,35,0.350,65,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,bridge_depth,2,20260403T204508+0300,100,34,0.340,66,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,import_arity,1,20260403T204508+0300,150,57,0.380,93,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,import_arity,2,20260403T204508+0300,100,34,0.340,66,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,reuse_shape,adversarial_gold_reuse,20260403T204508+0300,50,18,0.360,32,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,reuse_shape,bridge_depth_ge_1,20260403T204508+0300,50,16,0.320,34,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,reuse_shape,one_import_linear,20260403T204508+0300,50,22,0.440,28,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,reuse_shape,one_import_symbol_remap,20260403T204508+0300,50,19,0.380,31,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,reuse_shape,two_import_merge,20260403T204508+0300,50,16,0.320,34,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,symbol_overlap,high,20260403T204508+0300,50,22,0.440,28,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,symbol_overlap,low,20260403T204508+0300,100,37,0.370,63,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,symbol_overlap,medium,20260403T204508+0300,100,32,0.320,68,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,transition_group,GF-MF-A,20260403T204508+0300,50,22,0.440,28,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,transition_group,GF-MF-B,20260403T204508+0300,50,19,0.380,31,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,transition_group,GF-MF-C,20260403T204508+0300,50,16,0.320,34,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,transition_group,GF-MF-D,20260403T204508+0300,50,16,0.320,34,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,fg,transition_group,GF-MF-E,20260403T204508+0300,50,18,0.360,32,schema_failure
reasoning-valid-runs,gpt-oss:20b-cloud,neg,negative_twin_hardness,easy,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,gpt-oss:20b-cloud,neg,negative_twin_hardness,hard,20260403T204508+0300,100,100,1.000,0,pass_only
reasoning-valid-runs,gpt-oss:20b-cloud,neg,negative_twin_hardness,medium,20260403T204508+0300,100,100,1.000,0,pass_only
